
--- Game 25 ---
Step 1: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': -0.2, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 2: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 3: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 4: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 5: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 6: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 7: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.16000000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 8: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.14400000000000002, 'self_loop': 0, 'tail_follow': 0}
Step 9: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0.12800000000000003, 'self_loop': 0, 'tail_follow': 0}
Step 10: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
Step 11: {'idle': -0.1, 'collision': 0, 'body': 0, 'eat': 0, 'timeout': 0, 'shape': 0.4, 'openness': 0, 'self_loop': 0, 'tail_follow': 0}
